"Fuente","Título","Autor","Editorial","ISSN-e","ISSN","ISBN","Volumén","Número","Páginas"
"Artículo","Las cifras de la enseñanza universitaria en documentación en España: 2014","Mercedes de la Moneda Corrochano","Anuario ThinkEPI","","","","","","29-47"
"Artículo","Data Preprocessing: A preliminary step for web data mining","Huma Jamshed, Sadiq Ali Khan, Muhammad Khurram, Syed Inayatullah, Sameen Athar","3c Tecnología: glosas de innovación aplicadas a la pyme","","","","","","206-221"
"Artículo","Use of Mobile Applications to Collect Data in Sport, Health, and Exercise Science: A Narrative Review","Daniel J. Peart, Carlos Balsalobre Fernández, Matthew P. Shaw","Journal of strength and conditioning research: the research journal of the NSCA","","","","","","1167-1177"
"Artículo","ASA J oins IEEE, ACM for Data Science, Advanced Analytics C onference","","AMSTAT news: the membership magazine of the American Statistical Association","","","","","",""
"Artículo","Make Research Data Public?-Not Always so Simple: A Dialogue for Statisticians and Science Editors","Nell Sedransk, Linda J. Young, Katrina L. Kelner, Robert Moffitt, Ani Thakar, Jordan Raddick, Edward J. Ungvarsky, Richard W. Carlson, Rolf Apweiler, Lawrence H. Cox, Deborah Nolan, Keith Soper, Clifford Spiegelman","Statistical science","","","","","","41-50"
"Artículo","A computing model for the science data center of high energy physics space-based experiments","José Alberto Morales de los Ríos, Dolores Rodríguez Frías, Luis del Peral Gochicoa, Héctor Prieto, Guadalupe Sáez Cano","Actas del I Encuentro de Investigadores en Infraestructuras Inteligentes (EI3 2011): edificio Multidepartamental Guadalajara. 17 de marzo de 2011 / coord. por Luis Bengochea Martínez","","","","","","139-143"
"Artículo","New brown dwarfs in Upper Sco using UKIDSS Galactic Cluster Survey science verification data","G. Carraro, N. Lodieu&, T. R. Kendall, S. T. Hodgkin, R. F. Jameson, N. C. Hambly","Monthly notices of the Royal Astronomical Society","","","","","","372-384"
"Artículo","The developing science and technology of home data collection illustrated with insulin dependent diabetes mellitus","H. J. Leicester, A. V. Roudsari","Measurement and control","","","","","","141-144"
"Artículo","Using Data/Getting Results: A Practical Guide for School Improvement in Mathematics and Science (Book)","Barry Shealy","Mathematics teacher","","","","","",""
"Artículo","A preliminary proposal of a conceptual Educational Data Mining framework for Science Education: Scientific competences development and self-regulated learning","Rita Tavares, Rui Vieira, Luis Pedro","Atas do XIX Simpósio Internacional de Informática Educativa e VIII Encontro do CIED: III Encontro Internacional","","","","","","216-221"
"Artículo","Business and science cooperation in the area of improving the decision-support systems for electricity data management","J. Banaś, A. Kiersztyn, M. Mędrek, A. Tatarczak, Ł. Wiechetek","Edulearn 18. 10th International Conference on Education and New Learning Technology: (Palma","","","","","","3912-3919"
"Artículo","Using Data/Getting Results: A Practical Guide for School Improvement in Mathematics and Science (Book)","","Journal for research in mathematics education","","","","","",""
"Artículo","Nature-inspired in chemometrics: genetic algorithms and artificial neural networks, (data handling in science and technology - volume 23)","P. Johnson","Journal of chemometrics","","","","","","312-313"
"Artículo","On handling time-varying data in the relational data model","Abdullah Uz Tansel","Information and software technology","","","","","","119-126"
"Artículo","Data on wings.","Hillary Rosner","Scientific American","","","","","","68-73"
"Artículo","Data, eternal","Marcia McNutt","Science","","","","","","7-7"
"Artículo","Data day","Sam Handfield-Jones","New scientist","","","","","","26-27"
"Artículo","The Devil Is in the Data","Eliot Marshall, Robert Service","Science","","","","","",""
"Artículo","DATA POINT","Yudhijit Bhattacharjee","Science","","","","","",""
"Artículo","Editorial data","","Journal of accounting and economics","","","","","",""
"Artículo","Editorial Data","","Journal of accounting and economics","","","","","",""
"Artículo","Editorial data","Jerold L. Zimmerman, Ross L. Watts, Douglas J. Skinner, Thomas Z. Lys, S.P. Kothari","Journal of accounting and economics","","","","","",""
"Artículo","Editorial Data","G. William Schwert","Journal of financial economics","","","","","",""
